TurnType,RoadType,EnvType,VisibilityConditions,PedestrianLevel,TrafficLevel,DayNight,WeatherConditions,Speed_limit,New_Speed_Limit
Straight,Medium,Residential,High,Low,Moderate,Day,Rain,20,36.19
Gentle turn,Medium,Residential,Low,Low,Low,Night,Clear,20,96.6
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,20,23.85
Intersection,Medium,Residential,Low,Low,Moderate,Night,Clear,20,88.82
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,20,23.85
Straight,Medium,Highway,High,Low,Low,Day,Clear,20,26.6
Straight,Medium,Highway,High,Low,Low,Day,Clear,20,26.6
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Intersection,Medium,Residential,High,Low,Moderate,Day,Clear,20,29.02
Straight,Medium,City,High,Low,Low,Day,Clear,20,32.03
Straight,Medium,City,High,Low,Low,Day,Clear,20,32.03
Straight,Narrow,City,High,Low,Low,Day,Clear,20,47.68
Intersection,Medium,Highway,High,Low,Low,Day,Clear,20,32.35
Gentle turn,Narrow,City,High,Low,Moderate,Day,Clear,20,43.73
Intersection,Medium,Residential,High,Low,Moderate,Day,Clear,20,29.02
Straight,Medium,Residential,Low,Low,Moderate,Night,Rain,20,110.78
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,20,22.15
Straight,Medium,Highway,High,Low,Low,Day,Clear,20,26.6
Straight,Medium,Highway,Low,Moderate,Low,Night,Clear,20,90.63
Gentle turn,Medium,Highway,Low,Low,Low,Night,Clear,20,89.68
Intersection,Medium,Highway,High,Low,Low,Day,Rain,20,49.08
Gentle turn,Medium,Highway,Low,Moderate,Moderate,Night,Clear,20,83.12
Sharp turn,Medium,Highway,High,Low,Moderate,Day,Clear,20,26.95
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,20,22.15
Sharp turn,Medium,Highway,High,Low,Moderate,Day,Clear,20,26.95
Intersection,Medium,Highway,High,Low,Moderate,Day,Clear,20,26.94
Sharp turn,Medium,Highway,High,Low,Moderate,Day,Clear,20,26.95
Sharp turn,Medium,Highway,High,Low,Moderate,Day,Rain,20,40.89
Sharp turn,Medium,Highway,High,Low,Moderate,Day,Clear,20,26.95
Straight,Medium,Highway,Low,Low,Low,Night,Clear,20,81.42
Intersection,Medium,Residential,High,Moderate,Moderate,Day,Rain,20,49.0
Sharp turn,Medium,Residential,High,Low,Low,Day,Clear,20,34.87
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Straight,Medium,Highway,Low,Low,Low,Night,Clear,20,81.42
Gentle turn,Medium,Highway,High,Low,Low,Day,Clear,20,29.3
Straight,Medium,Residential,Low,Low,High,Night,,20,108.5
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,20,24.39
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,20,24.39
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Straight,Medium,Residential,High,Low,Moderate,Night,Rain,20,62.18
Gentle turn,Medium,Highway,High,Low,Low,Night,,20,53.95
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,20,22.15
Intersection,Medium,Highway,High,Low,Moderate,Day,Clear,20,26.94
Intersection,Medium,Residential,Low,Low,Moderate,Night,,20,95.2
Gentle turn,Medium,Residential,High,Moderate,Moderate,Day,Clear,20,29.25
Straight,Medium,Highway,Low,Low,Moderate,Night,Clear,20,67.79
Gentle turn,Medium,Residential,Low,Moderate,Moderate,Night,Clear,20,89.53
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,20,22.15
Gentle turn,Medium,Residential,High,Low,Low,Day,Clear,20,31.56
Gentle turn,Medium,Residential,Low,Low,Moderate,Night,Clear,20,80.43
Straight,Medium,Residential,Low,Low,Moderate,Night,Fogg,20,115.96
Straight,Medium,Highway,High,Low,Low,Day,Rain,20,40.35
Gentle turn,Medium,Residential,High,Low,Moderate,Night,Clear,20,45.15
Gentle turn,Medium,Residential,High,Moderate,Moderate,Day,Clear,20,29.25
Straight,Medium,Highway,Low,Low,Low,Night,Clear,20,81.42
Gentle turn,Medium,Highway,Low,Moderate,Moderate,Day,Clear,20,48.38
Straight,Medium,Residential,High,Low,Low,Day,Clear,20,28.65
Straight,Medium,Highway,High,Low,Moderate,Day,Rain,20,33.6
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,20,22.15
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,20,23.85
Straight,Medium,City,High,Low,Moderate,Day,,20,28.59
Straight,Medium,Highway,High,Moderate,Moderate,Day,Clear,20,24.65
Gentle turn,Medium,Residential,High,Moderate,Moderate,Day,Clear,20,29.25
Straight,Medium,Residential,High,Low,Low,Day,Clear,20,28.65
Intersection,Medium,Residential,Low,Low,Low,Day,Clear,20,62.08
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,20,23.85
Straight,Medium,Residential,High,Low,Moderate,Night,Clear,20,40.99
Gentle turn,Medium,Residential,Low,Low,Low,Night,Clear,20,96.6
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,20,24.39
Straight,Medium,Highway,Low,Low,Moderate,Day,Clear,20,39.46
Straight,Medium,City,High,Low,Low,Day,Clear,20,32.03
Gentle turn,Medium,Residential,Low,Low,Moderate,Night,,20,86.21
Straight,Narrow,City,High,Low,Low,Day,Clear,20,47.68
Straight,Narrow,City,High,Low,Low,Night,Clear,20,81.93
Gentle turn,Medium,Residential,Low,Low,Low,Night,Clear,20,96.6
Gentle turn,Medium,Residential,High,Low,Moderate,Night,Clear,20,45.15
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Rain,20,37.01
Intersection,Medium,Residential,Low,Low,Moderate,Day,Clear,20,51.69
Straight,Narrow,Highway,High,Low,Moderate,Day,Clear,20,32.97
Gentle turn,Narrow,Residential,High,Low,Low,Day,Clear,20,46.98
Gentle turn,Narrow,Highway,High,Low,Moderate,Day,Clear,20,36.31
Straight,Medium,Highway,Low,Low,Moderate,Night,Rain,20,102.85
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,20,24.39
Intersection,Medium,Highway,Low,Low,Moderate,Day,Rain,20,72.81
Gentle turn,Medium,Highway,High,Low,Low,Day,Clear,20,29.3
Straight,Medium,City,Low,Low,Moderate,Night,unknown,20,87.51
Straight,Medium,Residential,High,Low,Low,Day,Clear,20,28.65
Gentle turn,Medium,Residential,High,Low,Low,Day,Clear,20,31.56
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,20,24.39
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Rain,20,39.86
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,20,22.15
Gentle turn,Medium,City,High,Low,Low,Day,Clear,20,35.28
Straight,Medium,Highway,High,Low,Low,Day,Clear,20,26.6
Straight,Medium,Highway,High,Moderate,Moderate,Night,Clear,20,42.36
Straight,Medium,Highway,High,Low,Low,Day,Clear,20,26.6
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,20,24.39
Straight,Medium,Highway,High,Low,Low,Day,Clear,20,26.6
Sharp turn,Medium,Highway,High,Low,Moderate,Day,Clear,20,26.95
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Intersection,Medium,Highway,High,Low,Moderate,Day,Rain,20,40.87
Gentle turn,Medium,Highway,Low,Low,Low,Night,Clear,20,89.68
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Gentle turn,Medium,Residential,High,Low,Low,Day,Clear,20,31.56
Straight,Medium,Highway,High,Low,Low,Day,Clear,20,26.6
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,20,23.85
Gentle turn,Medium,Highway,Low,Low,Low,Night,Clear,20,89.68
Intersection,Medium,Highway,High,Low,Moderate,Day,Clear,20,26.94
Intersection,Medium,Highway,High,Low,Low,Day,Clear,20,32.35
Straight,Medium,Highway,High,Low,Low,Day,Clear,20,26.6
Intersection,Medium,Highway,Low,High,Moderate,Night,Clear,20,104.24
Straight,Medium,Highway,Low,Moderate,Moderate,Night,Clear,20,75.46
Gentle turn,Medium,Highway,Low,Low,Moderate,Day,Clear,20,43.46
Gentle turn,Medium,City,Low,Low,Low,Day,Clear,20,62.86
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Straight,Medium,Highway,High,Low,Moderate,Day,unknown,20,23.74
Straight,Medium,Residential,High,Low,Low,Day,unknown,20,30.71
Gentle turn,Medium,Highway,High,Low,Low,Day,Clear,20,29.3
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,20,24.39
Straight,Medium,Residential,High,Moderate,Low,Day,Clear,20,31.89
Straight,Medium,Residential,High,Low,Low,Day,Clear,20,28.65
Intersection,Medium,Residential,Low,Low,Low,Night,Clear,20,106.67
Intersection,Medium,Residential,High,Low,Low,Day,Clear,20,34.85
Intersection,Medium,City,High,Low,Low,Day,Clear,20,38.96
Gentle turn,Medium,Highway,High,Moderate,Moderate,Day,unknown,20,29.1
Intersection,Narrow,Highway,High,Low,Low,Day,Clear,20,48.16
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,20,23.85
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Straight,Medium,Highway,High,Low,Moderate,Day,unknown,20,23.74
Straight,Medium,Residential,High,Moderate,Low,Day,Rain,20,48.38
Gentle turn,Medium,Residential,High,Low,Low,Day,Rain,20,47.87
Straight,Medium,Residential,High,Low,Low,Day,Clear,20,28.65
Gentle turn,Medium,Residential,High,Low,Low,Night,Clear,20,54.22
Gentle turn,Medium,Residential,High,Low,Low,Day,Clear,20,31.56
Straight,Medium,Highway,High,Low,Low,Night,Clear,20,45.7
Gentle turn,Medium,Residential,High,Low,Low,Night,Rain,20,82.25
Straight,Medium,Residential,Low,Low,Low,Night,Clear,20,87.7
Straight,Medium,Residential,High,Low,Low,Night,Clear,20,49.22
Straight,Medium,Residential,Low,Low,Moderate,Night,Clear,20,73.02
Straight,Medium,Highway,High,Low,Low,Day,unknown,20,28.51
Gentle turn,Medium,Highway,Low,High,Moderate,Night,Clear,20,94.4
Straight,Medium,Residential,High,Low,Low,Day,Clear,20,28.65
Straight,Medium,Residential,High,Low,Low,Day,Clear,20,28.65
Straight,Narrow,Highway,High,Low,Moderate,Day,Clear,20,32.97
Straight,Medium,Residential,High,Low,Low,Day,Rain,20,43.46
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Straight,Medium,Residential,Low,Low,Moderate,Day,Rain,20,64.48
Straight,Medium,Residential,High,Low,Low,Day,Clear,20,28.65
Sharp turn,Medium,Highway,Low,Low,Low,Night,Clear,20,99.09
Straight,Medium,City,High,Low,Low,Day,Clear,20,32.03
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Gentle turn,Narrow,Residential,High,Low,Moderate,Day,Clear,20,39.12
Straight,Medium,Highway,High,Moderate,Low,Day,unknown,20,31.73
Straight,Medium,Residential,High,Low,Low,Day,Rain,20,43.46
Straight,Narrow,City,High,Moderate,Moderate,Day,Rain,20,67.05
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,20,23.85
Gentle turn,Medium,Residential,Low,Low,Moderate,Night,Clear,20,80.43
Straight,Medium,Highway,Low,Low,Moderate,Night,Clear,20,67.79
Straight,Medium,Residential,High,Moderate,Low,Day,Clear,20,31.89
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,20,23.85
Straight,Medium,Residential,Low,Low,Low,Night,Clear,20,87.7
Straight,Medium,Highway,High,Low,Low,Day,Clear,20,26.6
Straight,Medium,Highway,Low,Low,Moderate,Day,unknown,20,42.29
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,20,23.85
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,20,23.85
Gentle turn,Medium,Residential,High,Low,Low,Day,Clear,20,31.56
Straight,Medium,Highway,Low,Low,Low,Day,Clear,20,47.39
Intersection,Medium,Highway,High,Low,Low,Day,Clear,20,32.35
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,20,22.15
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,20,22.15
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,20,22.15
Straight,Medium,Highway,High,Low,Low,Day,Clear,20,26.6
Gentle turn,Medium,Highway,Low,Low,Low,Night,Clear,20,89.68
Straight,Medium,Highway,High,Low,Moderate,Night,Clear,20,38.05
Straight,Medium,Highway,High,Low,Low,Day,Clear,20,26.6
Gentle turn,Medium,Highway,High,Low,Low,Day,Rain,20,44.44
Sharp turn,Medium,Highway,Low,Low,Moderate,Night,Clear,20,82.51
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,20,24.39
Straight,Narrow,Highway,High,Low,Low,Day,Clear,20,39.59
Straight,Medium,Residential,High,Low,Low,Day,Clear,20,28.65
Straight,Narrow,Highway,High,Low,Low,Day,Clear,20,39.59
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Gentle turn,Medium,Residential,High,Low,Low,Day,Clear,20,31.56
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Gentle turn,Medium,Highway,High,Low,Moderate,Night,Clear,20,41.91
Straight,Medium,Highway,High,Low,Low,Day,unknown,20,28.51
Gentle turn,Medium,Residential,High,Low,Low,Day,Clear,20,31.56
Gentle turn,Medium,Highway,Low,Low,Low,Night,Clear,20,89.68
Straight,Narrow,Highway,High,Low,Low,Day,Clear,20,39.59
Sharp turn,Medium,Highway,Low,Moderate,Moderate,Night,Clear,20,91.84
Straight,Medium,Highway,High,Low,Low,Day,Clear,20,26.6
Straight,Medium,Highway,Low,Low,Low,Day,Rain,20,71.89
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Rain,20,39.86
Sharp turn,Medium,Highway,High,High,Moderate,Day,Clear,20,34.07
Gentle turn,Medium,Residential,High,Low,Moderate,Night,Clear,20,45.15
Straight,Medium,Residential,High,Low,Low,Day,Clear,20,28.65
Gentle turn,Medium,Highway,High,Low,Moderate,Day,unknown,20,26.15
Straight,Medium,Residential,Low,Low,Low,Night,Clear,20,87.7
Straight,Medium,Residential,Low,Low,Low,Night,unknown,20,94.0
Straight,Medium,Highway,High,Low,Low,Day,Rain,20,40.35
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,20,23.85
Gentle turn,Medium,Highway,Low,Low,Moderate,Day,Clear,20,43.46
Intersection,Narrow,Highway,High,Low,Low,Day,Clear,20,48.16
Gentle turn,Medium,Residential,Low,Low,Moderate,Night,Rain,20,122.02
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,20,23.85
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,20,23.85
Intersection,Medium,Residential,Low,Moderate,Moderate,Night,Clear,20,98.87
Intersection,Medium,Residential,High,Low,Low,Day,Clear,20,34.85
Straight,Medium,Residential,Low,Low,Low,Night,Clear,20,87.7
Straight,Medium,Highway,High,Low,Low,Day,Clear,20,26.6
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,20,23.85
Straight,Medium,Highway,Low,Low,Moderate,Night,Clear,20,67.79
Straight,Medium,Highway,High,Low,Low,Day,Clear,20,26.6
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Straight,Medium,Residential,High,Low,Moderate,Night,Clear,20,40.99
Sharp turn,Medium,Highway,High,Moderate,Low,Day,Clear,20,36.03
Gentle turn,Medium,Highway,Low,Low,Moderate,Day,Rain,20,65.93
Intersection,Medium,Highway,High,Low,Low,Day,Clear,20,32.35
Intersection,Medium,Residential,Low,Moderate,Moderate,Night,Clear,20,98.87
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,20,24.39
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,20,22.15
Gentle turn,Medium,Highway,High,Low,Moderate,Night,Clear,20,41.91
Intersection,Medium,Residential,High,Low,Moderate,Day,Clear,20,29.02
Straight,Narrow,City,High,Low,Low,Day,Clear,20,47.68
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,20,23.85
Sharp turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,29.03
Sharp turn,Medium,Highway,Low,Low,Low,Night,Rain,20,150.32
Intersection,Medium,Highway,High,Low,Moderate,Night,Clear,20,46.28
Gentle turn,Medium,Highway,High,Low,Low,Day,Rain,20,44.44
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,20,22.15
Straight,Medium,Highway,High,Low,Low,Day,Clear,20,26.6
Gentle turn,Medium,Residential,Low,Low,Moderate,Night,Clear,20,80.43
Straight,Medium,City,High,Low,Low,Day,Clear,20,32.03
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Gentle turn,Medium,Highway,High,Low,Low,Day,Clear,20,29.3
Straight,Medium,Highway,High,Moderate,Low,Day,Clear,20,29.61
Gentle turn,Medium,Highway,Low,Low,Low,Night,Clear,20,89.68
Gentle turn,Medium,Residential,High,Low,Low,Day,Clear,20,31.56
Straight,Medium,Highway,High,Low,Moderate,Night,Clear,20,38.05
Gentle turn,Medium,Highway,Low,Low,Moderate,Night,Clear,20,74.67
Sharp turn,Medium,Highway,High,Low,Moderate,Day,Rain,20,40.89
Straight,Medium,Residential,High,Low,Low,Day,Clear,20,28.65
Straight,Medium,Residential,Low,Low,Low,Day,Clear,20,51.04
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,20,24.39
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,20,22.15
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Intersection,Medium,Residential,Low,Low,Moderate,Night,Clear,20,88.82
Gentle turn,Medium,Highway,High,Low,Low,Day,Clear,20,29.3
Intersection,Narrow,Residential,Low,Low,Low,Night,Clear,20,158.8
Gentle turn,Medium,Residential,Low,Low,Moderate,Night,Clear,20,80.43
Gentle turn,Medium,Residential,High,Moderate,Moderate,Day,Clear,20,29.25
Straight,Medium,Highway,High,Low,Low,Day,Clear,20,26.6
Gentle turn,Medium,Highway,High,Low,Low,Day,,20,31.4
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Rain,20,39.86
Intersection,Medium,Highway,High,Moderate,Moderate,Day,Clear,20,29.98
Intersection,Medium,Highway,High,Low,Moderate,Day,Clear,20,26.94
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Rain,20,39.86
Gentle turn,Medium,Residential,Low,Low,Moderate,Night,Clear,20,80.43
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,20,24.39
Intersection,Medium,Highway,High,Low,Low,Day,Clear,20,32.35
Gentle turn,Medium,Residential,High,Moderate,Low,Day,Clear,20,35.12
Intersection,Medium,Highway,High,Low,Low,Day,Clear,20,32.35
Intersection,Medium,Highway,High,Low,Low,Day,Clear,20,32.35
Gentle turn,Medium,Highway,High,Low,Low,Day,Clear,20,29.3
Straight,Medium,Highway,High,Low,Moderate,Night,Clear,20,38.05
Straight,Medium,Residential,High,Low,Low,Day,Clear,20,28.65
Straight,Medium,Residential,Low,Low,Moderate,Night,Clear,20,73.02
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,20,24.39
Straight,Medium,Residential,High,Low,Low,Day,Clear,20,28.65
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Intersection,Medium,Highway,High,Low,Moderate,Night,Clear,20,46.28
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Gentle turn,Medium,Highway,Low,Low,Low,Night,Clear,20,89.68
Gentle turn,Medium,Highway,Low,Low,Moderate,Night,Clear,20,74.67
Intersection,Medium,Residential,High,Low,Moderate,Day,Clear,20,29.02
Gentle turn,Medium,Highway,Low,Moderate,Low,Night,Clear,20,99.82
Intersection,Medium,Highway,High,Low,Moderate,Day,Clear,20,26.94
Straight,Medium,Highway,High,Low,Low,Day,Clear,20,26.6
Intersection,Medium,Highway,High,Low,Moderate,Day,Clear,20,26.94
Gentle turn,Medium,Highway,High,Low,Moderate,Night,Clear,20,41.91
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,20,22.15
Intersection,Medium,Residential,High,Low,Moderate,Day,Clear,20,29.02
Intersection,Medium,Highway,High,Low,Moderate,Day,Clear,20,26.94
Intersection,Medium,Highway,High,Moderate,Moderate,Day,Clear,20,29.98
Gentle turn,Medium,Highway,High,Low,Low,Day,unknown,20,31.4
Intersection,Medium,Residential,High,Moderate,Moderate,Night,Clear,20,55.49
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,20,22.15
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,20,23.85
Gentle turn,Medium,Highway,Low,Low,Low,Night,Clear,20,89.68
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Rain,20,39.86
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,20,29.38
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Gentle turn,Medium,City,Low,Low,Moderate,Day,Clear,20,52.34
Sharp turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,29.03
Gentle turn,Medium,Highway,High,Low,Moderate,Night,Clear,20,41.91
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,20,22.15
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,20,22.15
Gentle turn,Medium,City,High,Low,Low,Day,Clear,20,35.28
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,20,24.39
Sharp turn,Medium,Highway,High,Low,Moderate,Day,Clear,20,26.95
Sharp turn,Medium,Highway,High,Low,Moderate,Day,Clear,20,26.95
Straight,Medium,Highway,High,Low,Low,Day,Clear,20,26.6
Gentle turn,Medium,Residential,Low,Low,Moderate,Night,Clear,20,80.43
Intersection,Medium,Highway,High,Low,Low,Day,Clear,20,32.35
Sharp turn,Medium,Residential,Low,Moderate,Moderate,Night,unknown,20,106.03
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,20,24.39
Straight,Medium,Residential,High,Low,Low,Day,Clear,20,28.65
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Intersection,Medium,Highway,High,Low,Low,Night,Clear,20,55.59
Straight,Medium,City,High,Low,Moderate,Night,Clear,20,45.83
Gentle turn,Medium,Highway,High,Low,Low,Day,Clear,20,29.3
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,20,22.15
Straight,Medium,Highway,High,Low,Low,Day,Clear,20,26.6
Gentle turn,Medium,Highway,High,Low,Low,Day,Clear,20,29.3
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,20,24.39
Straight,Medium,City,High,Low,Moderate,Day,Clear,20,26.67
Intersection,Medium,Residential,High,Low,Moderate,Day,Clear,20,29.02
Straight,Medium,Highway,High,Low,Low,Day,Clear,20,26.6
Gentle turn,Medium,Residential,High,Low,Low,Day,Clear,20,31.56
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,20,24.39
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,20,24.39
Straight,Medium,City,High,Low,Moderate,Day,Clear,20,26.67
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,20,22.15
Intersection,Medium,Highway,High,Low,Moderate,Day,Clear,20,26.94
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,20,23.85
Gentle turn,Medium,Residential,High,Low,Low,Day,Clear,20,31.56
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,20,24.39
Gentle turn,Medium,Highway,Low,Low,Moderate,Night,Clear,20,74.67
Straight,Medium,Highway,High,Low,Low,Night,Clear,20,45.7
Straight,Medium,Residential,High,Low,Low,Day,Clear,20,28.65
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Rain,20,37.01
Straight,Narrow,Highway,High,Low,Moderate,Day,Clear,20,32.97
Sharp turn,Medium,Highway,Low,Low,Moderate,Night,Rain,20,125.17
Gentle turn,Medium,Residential,Low,Low,Moderate,Night,Clear,20,80.43
Gentle turn,Medium,Highway,Low,Low,Moderate,Night,Rain,20,113.28
Straight,Medium,Residential,High,High,High,Day,Rain,20,63.42
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,20,24.39
Straight,Medium,Highway,Low,Low,Moderate,Night,unknown,20,72.66
Gentle turn,Medium,Residential,Low,Moderate,Moderate,Night,Clear,20,89.53
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,20,24.39
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,20,22.15
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Intersection,Medium,Highway,Low,Low,Moderate,Night,Clear,20,82.46
Straight,Medium,Highway,High,Low,Moderate,Day,Rain,20,33.6
Gentle turn,Medium,Residential,Low,Low,Low,Night,Clear,20,96.6
Intersection,Medium,Residential,High,Moderate,Moderate,Day,Clear,20,32.3
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,20,24.39
Straight,Medium,Highway,Low,Moderate,Moderate,Night,Clear,20,75.46
Gentle turn,Medium,Residential,High,Low,Low,Night,Clear,20,54.22
Straight,Medium,Highway,High,Low,Moderate,Day,Rain,20,33.6
Gentle turn,Medium,Residential,Low,Low,Moderate,Night,Rain,20,122.02
Intersection,Medium,Highway,Low,Low,Moderate,Night,Clear,20,82.46
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,20,23.85
Gentle turn,Narrow,Highway,High,Low,Low,Day,Clear,20,43.61
Gentle turn,Medium,Highway,High,Low,Moderate,Night,Clear,20,41.91
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,20,23.85
Straight,Medium,Highway,High,Low,Low,Day,Clear,20,26.6
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Gentle turn,Medium,Residential,Low,Low,Moderate,Day,Clear,20,46.81
Sharp turn,Medium,Highway,Low,Low,Moderate,Night,Clear,20,82.51
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,20,24.39
Gentle turn,Medium,Highway,High,Low,Low,Day,Clear,20,29.3
Straight,Medium,Residential,High,Low,High,Day,Clear,20,33.07
Straight,Medium,Highway,High,Low,Low,Day,Clear,20,26.6
Sharp turn,Medium,Highway,High,Moderate,Moderate,Day,Clear,20,30.0
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,20,29.38
Straight,Medium,Highway,Low,Low,Low,Night,Clear,20,81.42
Straight,Medium,Residential,Low,Moderate,Moderate,Day,Clear,20,47.31
Straight,Medium,Residential,High,Low,Low,Day,Clear,20,28.65
Gentle turn,Medium,City,Low,Low,Low,Night,Clear,20,108.0
Intersection,Medium,Highway,High,Low,Low,Day,Clear,20,32.35
Straight,Medium,Residential,Low,Low,Low,Night,Clear,20,87.7
Straight,Medium,Residential,High,Low,Low,Day,Clear,20,28.65
Gentle turn,Medium,Highway,Low,Low,Moderate,Night,Clear,20,74.67
Straight,Medium,Residential,High,Low,Moderate,Night,Clear,20,40.99
Straight,Medium,City,High,Low,Low,Day,Clear,20,32.03
Sharp turn,Medium,Highway,High,Low,Moderate,Day,Clear,20,26.95
Gentle turn,Medium,City,High,Low,Moderate,Night,Clear,20,50.47
Straight,Medium,Residential,High,Low,Moderate,Night,Clear,20,40.99
Gentle turn,Medium,Residential,High,High,Moderate,Night,Clear,20,57.07
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Straight,Medium,Highway,High,Low,Low,Day,Clear,20,26.6
Straight,Medium,Highway,Low,Low,Low,Day,Clear,20,47.39
